순위,투자연도,투자월,종목선정일,시장,종목명,종목코드,시가총액,종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,2026,2026-07,2026-06-30,NASDAQ,NVIDIA Corporation Common Stock,NVDA,4939704.0,194.97000122070312,-7.66,11.79,4.54,23.41,1.59
2,2026,2026-07,2026-06-30,NASDAQ,Apple Inc. Common Stock,AAPL,4602870.5,281.739990234375,-9.72,11.01,3.63,37.32,12.87
3,2026,2026-07,2026-06-30,NASDAQ,Alphabet Inc. Class A Common Stock,GOOGL,4385022.7,353.6499938964844,-7.02,22.98,12.99,100.68,-1.51
4,2026,2026-07,2026-06-30,NASDAQ,Microsoft Corporation Common Stock,MSFT,2847616.2,368.5700073242188,-18.14,-0.43,-23.79,-25.9,7.85
5,2026,2026-07,2026-06-30,NASDAQ,Amazon.com Inc. Common Stock,AMZN,2620647.0,240.13999938964844,-11.27,15.3,4.04,9.46,4.89
6,2026,2026-07,2026-06-30,NYSE,Taiwan Semiconductor Manufacturing Company Ltd.,TSM,2266398.9,455.1000061035156,8.76,34.66,49.76,100.94,-15.76
7,2026,2026-07,2026-06-30,NASDAQ,Space Exploration Technologies Corp. Class A Common Stock,SPCX,1941373.6,164.19000244140625,0.0,0.0,0.0,0.0,-29.85
8,2026,2026-07,2026-06-30,NASDAQ,Broadcom Inc. Common Stock,AVGO,1849223.8,372.4500122070313,-16.63,20.34,7.61,35.12,0.11
9,2026,2026-07,2026-06-30,NASDAQ,Meta Platforms Inc. Class A Common Stock,META,1530973.9,562.5999755859375,-11.05,-1.67,-14.77,-23.78,14.66
10,2026,2026-07,2026-06-30,NASDAQ,Tesla Inc. Common Stock,TSLA,1479980.5,411.8399963378906,-5.5,10.78,-8.42,29.65,-12.13
11,2026,2026-07,2026-06-30,NYSE,Eli Lilly and Company Common Stock,LLY,1144997.5,1229.9300537109375,11.31,33.72,14.45,57.78,-4.38
12,2026,2026-07,2026-06-30,NYSE,Berkshire Hathaway Inc.,BRK-A,1100581.5,743510.0,4.59,3.53,-1.5,2.02,-1.69
13,2026,2026-07,2026-06-30,NASDAQ,Micron Technology Inc. Common Stock,MU,1071568.2,1145.280029296875,17.95,239.0,301.28,829.23,-25.02
14,2026,2026-07,2026-06-30,NASDAQ,Walmart Inc. Common Stock,WMT,900058.8,114.5999984741211,-0.99,-7.79,2.86,17.2,-0.94
15,2026,2026-07,2026-06-30,NYSE,JP Morgan Chase & Co. Common Stock,JPM,885900.1,329.3900146484375,10.05,11.98,2.23,13.62,3.53
16,2026,2026-07,2026-06-30,NASDAQ,Advanced Micro Devices Inc. Common Stock,AMD,843680.9,539.489990234375,4.53,165.2,151.91,280.19,-13.31
17,2026,2026-07,2026-06-30,NASDAQ,ASML Holding N.V. New York Registry Shares,ASML,681669.0,1883.1099853515625,16.76,42.57,76.01,134.98,-12.59
18,2026,2026-07,2026-06-30,NYSE,Visa Inc.,V,658384.4,341.6499938964844,4.69,13.04,-2.58,-3.77,5.09
19,2026,2026-07,2026-06-30,NYSE,Johnson & Johnson Common Stock,JNJ,634061.0,258.510009765625,14.73,5.76,24.91,69.24,-2.03
20,2026,2026-07,2026-06-30,NYSE,AstraZeneca PLC Ordinary Shares,AZN,587042.8,190.9499969482422,2.84,-3.18,3.86,36.63,-13.24
21,2026,2026-07,2026-06-30,NYSE,ExxonMobil Holdings Corporation Common Stock,XOM,584976.4,136.05999755859375,-6.33,-19.8,13.06,26.22,8.51
