순위,투자연도,투자월,종목선정일,시장,종목명,종목코드,시가총액,종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,2026,2026-08,2026-07-31,NASDAQ,NVIDIA Corporation Common Stock,NVDA,4858150.0,195.0399932861328,-2.52,-2.27,2.05,9.65,0.0
2,2026,2026-08,2026-07-31,NASDAQ,Apple Inc. Common Stock,AAPL,4537071.1,333.42999267578125,15.23,22.88,28.5,60.63,0.0
3,2026,2026-08,2026-07-31,NASDAQ,Alphabet Inc. Class C Capital Stock,GOOG,4361829.5,333.67999267578125,-5.56,-12.64,-1.43,73.02,0.0
4,2026,2026-08,2026-07-31,NASDAQ,Microsoft Corporation Common Stock,MSFT,3450799.5,451.1000061035156,20.93,10.62,4.84,-15.45,0.0
5,2026,2026-08,2026-07-31,NASDAQ,Amazon.com Inc. Common Stock,AMZN,2921415.8,235.5,-1.19,-11.15,-1.59,0.59,0.0
6,2026,2026-08,2026-07-31,NYSE,Taiwan Semiconductor Manufacturing Company Ltd.,TSM,2096644.6,403.30999755859375,-15.55,1.83,22.01,66.92,0.0
7,2026,2026-08,2026-07-31,NASDAQ,Broadcom Inc. Common Stock,AVGO,1852030.8,387.8399963378906,2.67,-7.09,17.07,32.05,0.0
8,2026,2026-08,2026-07-31,NASDAQ,Space Exploration Technologies Corp. Class A Common Stock,SPCX,1418655.8,112.19999694824219,-34.33,0.0,0.0,0.0,0.0
9,2026,2026-08,2026-07-31,NASDAQ,Meta Platforms Inc. Class A Common Stock,META,1413165.6,539.030029296875,-4.31,-11.91,-24.77,-30.31,0.0
10,2026,2026-08,2026-07-31,NASDAQ,Tesla Inc. Common Stock,TSLA,1229138.6,308.8500061035156,-26.57,-19.07,-28.24,0.19,0.0
11,2026,2026-08,2026-07-31,NYSE,Berkshire Hathaway Inc.,BRK-B,1128616.5,509.67999267578125,1.86,7.62,6.07,8.01,0.0
12,2026,2026-08,2026-07-31,NYSE,Eli Lilly and Company Common Stock,LLY,1081910.2,1154.969970703125,-3.71,23.58,11.36,56.06,0.0
