순위,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,종가
1,005930,삼성전자,977497783257600,2026-03-31,-22.8,39.4,99.3,189.3,31.88,167200.0
2,000660,SK하이닉스,575150808555000,2026-03-31,-23.9,24.0,132.2,323.2,59.36,807000.0
3,005380,현대차,91219584753000,2026-03-31,-33.9,50.3,107.2,125.9,19.19,445500.0
4,373220,LG에너지솔루션,92313000000000,2026-03-31,-7.6,7.1,13.5,17.9,16.73,394500.0
5,012450,한화에어로스페이스,64402687849000,2026-03-31,4.5,32.7,12.8,102.3,13.45,1249000.0
6,402340,SK스퀘어,61558587069000,2026-03-31,-27.7,26.8,131.5,399.5,80.28,466500.0
7,207940,삼성바이오로직스,69621590304000,2026-03-31,-15.4,-11.3,2.5,0.8,-2.26,1504000.0
8,034020,두산에너빌리티,58803513202800,2026-03-31,-13.6,21.9,46.4,291.5,38.45,91800.0
9,105560,KB금융,52907479564500,2026-03-31,-10.8,13.8,22.9,79.6,13.11,141900.0
10,000270,기아,56687967309600,2026-03-31,-29.3,19.2,44.2,57.3,4.55,145200.0
11,329180,HD현대중공업,48806969625000,2026-03-31,-22.9,-8.6,-9.7,66.7,47.31,465000.0
12,032830,삼성생명,42100000000000,2026-03-31,-8.5,33.6,34.4,153.9,18.53,210500.0
13,028260,삼성물산,41109836683500,2026-03-31,-27.7,5.8,37.3,116.9,17.75,253500.0
14,055550,신한지주,41627187459700,2026-03-31,-9.5,14.0,23.9,86.4,13.91,87700.0
15,068270,셀트리온,43766225069200,2026-03-31,-17.3,9.0,13.7,21.1,1.67,197200.0
16,009150,삼성전기,30437681120000,2026-03-31,-9.1,59.8,110.6,215.6,104.17,407500.0
17,006400,삼성SDI,32878896240000,2026-03-31,-12.4,51.4,99.0,121.1,70.34,408000.0
18,042660,한화오션,36830889958800,2026-03-31,-14.9,5.8,9.0,79.1,9.65,120200.0
19,006800,미래에셋증권,34469319808000,2026-03-31,-14.1,165.0,189.8,574.7,5.19,61600.0
20,267260,HD현대일렉트릭,29991216320000,2026-03-31,-20.8,7.5,43.0,184.9,50.48,832000.0
21,012330,현대모비스,34296916374000,2026-03-31,-26.9,1.3,26.6,45.1,12.43,378000.0
22,010130,고려아연,29681361918000,2026-03-31,-30.0,8.1,54.4,82.8,11.04,1422000.0
23,086790,하나금융지주,29247601936800,2026-03-31,-12.5,13.3,22.2,78.9,19.98,106600.0
24,035420,NAVER,31605806557000,2026-03-31,-20.8,-16.9,-25.0,5.5,4.71,201500.0
25,005490,POSCO홀딩스,26347807727500,2026-03-31,-19.5,9.0,20.5,19.4,38.95,332500.0
26,298040,효성중공업,22901089888000,2026-03-31,-13.0,37.9,83.3,473.2,59.28,2456000.0
27,009540,HD한국조선해양,24345951904000,2026-03-31,-23.6,-15.5,-16.3,71.1,34.16,344000.0
28,010120,LS ELECTRIC,21540000000000,2026-03-31,-8.8,56.1,152.4,309.6,93.59,143600.0
29,015760,한국전력,26737803807050,2026-03-31,-28.8,-11.8,15.5,92.4,4.56,41650.0
30,042700,한미반도체,23923362200000,2026-03-31,-22.4,97.0,160.1,268.0,46.61,251000.0
31,034730,SK,21823313603000,2026-03-31,-24.9,17.3,43.3,132.3,41.2,301000.0
32,316140,우리금융지주,23527146056000,2026-03-31,-11.0,14.5,23.5,94.2,4.06,32050.0
33,272210,한화시스템,21555702284900,2026-03-31,0.4,109.7,91.8,255.5,2.8,114100.0
34,010140,삼성중공업,21516000000000,2026-03-31,-15.5,1.5,11.6,81.4,32.31,24450.0
35,051910,LG화학,21107110557000,2026-03-31,-28.4,-10.2,7.6,22.0,32.78,299000.0
36,064350,현대로템,18499618663500,2026-03-31,-26.5,-9.8,-22.6,61.4,58.41,169500.0
37,000810,삼성화재,19667211856500,2026-03-31,-16.9,-11.4,-2.4,23.2,4.65,440500.0
38,035720,카카오,20289445571000,2026-03-31,-26.5,-23.8,-23.2,17.1,3.28,45800.0
39,000150,두산,16614874710000,2026-03-31,-19.7,31.4,89.6,250.8,55.56,1026000.0
40,079550,LIG넥스원,13442000000000,2026-03-31,20.0,45.1,19.1,146.4,54.01,611000.0
41,096770,SK이노베이션,18376038055600,2026-03-31,-14.9,7.4,8.2,-3.3,34.5,108700.0
42,017670,SK텔레콤,16409960049200,2026-03-31,-4.3,42.8,40.7,37.7,24.48,76400.0
43,011200,HMM,18459167072900,2026-03-31,-8.3,-4.5,-2.4,0.1,4.75,19570.0
44,000720,현대건설,15823654206500,2026-03-31,-13.7,102.7,161.2,295.3,13.86,142100.0
45,138040,메리츠금융지주,18642486212200,2026-03-31,-12.4,-1.5,-1.9,-8.7,0.27,111400.0
46,267250,HD현대,18879347315000,2026-03-31,-18.3,26.8,53.8,229.7,29.92,239000.0
47,003670,포스코퓨처엠,18100555770000,2026-03-31,-17.6,8.8,41.8,74.5,23.83,203500.0
48,033780,KT&G,18256521884000,2026-03-31,-2.4,12.0,19.2,57.5,12.0,159200.0
49,047810,한국항공우주,16054150122900,2026-03-31,-14.0,44.0,52.5,119.6,2.61,164700.0
50,066570,LG전자,17200802467200,2026-03-31,-27.5,14.9,39.7,36.8,33.43,105600.0
51,024110,기업은행,17025042303150,2026-03-31,-17.1,1.9,9.7,50.1,5.85,21350.0
52,086280,현대글로비스,15562500000000,2026-03-31,-28.3,14.9,25.5,84.6,9.4,207500.0
53,030200,KT,15222109774000,2026-03-31,-5.3,14.8,19.6,21.8,0.83,60400.0
54,278470,에이피알,12616658235000,2026-03-31,7.8,45.9,34.8,382.8,25.96,337000.0
55,003550,LG,12769547238000,2026-03-31,-23.1,2.6,15.0,28.2,19.69,82800.0
56,010950,S-Oil,11854967997600,2026-03-31,-4.3,26.9,68.8,87.7,27.73,105300.0
57,071050,한국금융지주,11284513380000,2026-03-31,-21.7,25.2,39.7,177.4,18.52,202500.0
58,0126Z0,삼성에피스홀딩스,12292226206000,2026-03-31,-26.8,-33.5,0.0,0.0,9.92,494000.0
59,047050,포스코인터내셔널,12578479342000,2026-03-31,-1.0,44.2,47.6,45.2,22.1,71500.0
60,039490,키움증권,10766723718000,2026-03-31,-11.9,41.8,67.6,223.5,-3.05,410500.0
61,005940,NH투자증권,10547793322400,2026-03-31,-16.6,40.3,52.4,111.1,13.68,29600.0
62,323410,카카오뱅크,11427034466150,2026-03-31,-11.8,10.9,0.8,8.6,1.67,23950.0
63,259960,크래프톤,12088553205000,2026-03-31,2.6,3.7,-12.8,-23.8,3.92,255000.0
64,018260,삼성에스디에스,11614407780000,2026-03-31,-23.0,-12.5,-8.6,29.2,10.73,150100.0
65,005830,DB손해보험,10728957166200,2026-03-31,-10.5,24.9,18.3,84.9,2.32,163800.0
66,352820,하이브,12887572451000,2026-03-31,-22.8,-9.4,12.4,27.0,-12.04,299000.0
67,307950,현대오토에버,9831497547000,2026-03-31,-28.4,8.0,134.8,200.5,25.66,358500.0
68,003230,삼양식품,9039618000000,2026-03-31,-1.7,-2.5,-21.5,39.5,11.75,1200000.0
69,028050,삼성E&A,6997200000000,2026-03-31,-1.9,48.4,33.2,80.5,48.74,35700.0
70,047040,대우건설,6389613770900,2026-03-31,53.4,307.1,334.4,393.7,125.08,15550.0
71,016360,삼성증권,8251320000000,2026-03-31,-13.5,22.5,28.9,104.2,16.34,92400.0
72,006260,LS,7987200000000,2026-03-31,-10.0,28.1,53.3,143.3,76.95,256000.0
73,000880,한화,7551398124900,2026-03-31,-21.6,31.2,26.6,161.5,24.56,107100.0
74,003490,대한항공,8671596566550,2026-03-31,-16.2,4.4,3.5,10.6,4.25,23550.0
75,007660,이수페타시스,7194103462000,2026-03-31,-23.2,-17.8,37.4,175.3,53.37,98000.0
76,011070,LG이노텍,6946295904500,2026-03-31,-8.0,8.3,56.3,83.6,95.23,293500.0
77,443060,HD현대마린솔루션,8052089416000,2026-03-31,-2.6,-7.2,-14.5,34.2,47.83,179600.0
78,267270,HD건설기계,6001562161800,2026-03-31,-11.1,27.1,34.7,90.4,47.0,125100.0
79,326030,SK바이오팜,7424096100000,2026-03-31,-20.9,-23.9,-6.5,-4.5,5.38,94800.0
80,090430,아모레퍼시픽,8025206534800,2026-03-31,-9.4,14.8,12.2,35.3,-1.38,137200.0
81,161390,한국타이어앤테크놀로지,6701641232900,2026-03-31,-25.8,-7.2,41.1,37.1,9.43,54100.0
82,032640,LG유플러스,6675234353150,2026-03-31,-6.1,5.5,1.2,50.8,2.0,15530.0
83,180640,한진칼,7196973676200,2026-03-31,-31.0,-13.1,7.3,32.9,4.55,107800.0
84,000100,유한양행,7550592574800,2026-03-31,-14.0,-15.7,-20.4,-13.2,-3.38,94800.0
85,066970,엘앤에프,5808639051700,2026-03-31,14.5,51.2,93.7,140.6,35.58,143900.0
86,377300,카카오페이,6606736177950,2026-03-31,-27.0,-0.5,-9.2,70.8,14.02,48850.0
87,009830,한화솔루션,6385807712400,2026-03-31,-29.9,38.6,30.1,101.8,36.47,37150.0
88,078930,GS,5928001116400,2026-03-31,-7.1,13.3,38.8,73.4,28.37,63800.0
89,241560,두산밥캣,5454210098500,2026-03-31,-12.5,-1.4,2.5,13.8,26.54,56900.0
90,128940,한미약품,6597660365000,2026-03-31,-13.2,13.9,40.3,128.4,-10.68,515000.0
91,052690,한전기술,5782686000000,2026-03-31,-13.6,68.1,80.5,163.1,24.65,151300.0
92,034220,LG디스플레이,5425000000000,2026-03-31,-24.3,-8.1,-24.7,23.2,13.0,10850.0
93,029780,삼성카드,6152107112100,2026-03-31,-15.7,-5.0,1.5,32.6,0.38,53100.0
94,064400,LG씨엔에스,5406235898400,2026-03-31,-25.1,-9.1,-15.1,13.9,16.49,55800.0
95,001040,CJ,5514452622000,2026-03-31,-13.5,9.9,3.0,62.5,18.78,189000.0
96,001440,대한전선,4978142910000,2026-03-31,-25.8,16.6,72.0,133.6,110.86,26700.0
97,175330,JB금융지주,5591131444800,2026-03-31,-6.5,15.8,29.4,70.6,-8.08,29700.0
98,138930,BNK금융지주,5551750620370,2026-03-31,-10.2,12.7,22.6,74.5,4.7,17890.0
99,454910,두산로보틱스,5153188410000,2026-03-31,-25.4,1.9,20.6,58.4,38.62,79500.0
100,021240,코웨이,5109408157200,2026-03-31,-11.8,-16.9,-26.7,-10.9,19.25,72200.0
101,088980,맥쿼리인프라,5373504761460,2026-03-31,-1.9,-0.3,-2.5,3.2,1.16,11220.0
102,062040,산일전기,4130078165000,2026-03-31,-19.1,3.7,22.5,162.5,97.18,134900.0
103,271560,오리온,5060624896000,2026-03-31,-4.0,21.1,23.6,8.6,12.19,128000.0
104,036570,엔씨소프트,4825860928000,2026-03-31,-3.0,11.2,3.7,49.9,20.76,224000.0
