순위,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
1,005930,삼성전자,281000000000000.0,2019-06-28,10.46,4.79,21.45,0.43,0.32
2,000660,SK하이닉스,50600000000000.0,2019-06-28,5.46,-3.87,14.88,-16.77,14.82
3,005380,현대차,29900000000000.0,2019-06-28,2.56,17.15,18.14,12.0,-6.79
4,068270,셀트리온,26400000000000.0,2019-06-28,10.49,13.85,-7.64,-29.81,-9.98
5,051910,LG화학,25000000000000.0,2019-06-28,8.74,-1.8,2.16,6.14,-6.06
6,012330,현대모비스,22400000000000.0,2019-06-28,8.53,12.68,23.95,10.05,4.25
7,005490,POSCO,21300000000000.0,2019-06-28,4.26,-3.93,0.62,-24.07,-4.91
8,055550,신한지주,21300000000000.0,2019-06-28,-6.46,6.78,13.38,4.42,-2.78
9,207940,삼성바이오로직스,21200000000000.0,2019-06-28,8.84,0.0,-17.21,-21.76,-13.91
10,017670,SK텔레콤,20900000000000.0,2019-06-28,2.17,2.98,-3.9,11.88,-5.21
11,051900,LG생활건강,20500000000000.0,2019-06-28,4.29,-5.95,19.26,-7.79,-6.78
12,105560,KB금융,19200000000000.0,2019-06-28,0.11,12.52,-1.4,-12.5,-4.47
13,035420,NAVER,18800000000000.0,2019-06-28,5.07,-6.56,-6.56,-23.8,23.68
14,028260,삼성물산,18200000000000.0,2019-06-28,2.24,-10.14,-9.29,-17.85,-1.25
15,000270,기아차,17800000000000.0,2019-06-28,7.58,27.72,30.56,43.32,-0.91
16,032830,삼성생명,16700000000000.0,2019-06-28,2.83,-0.12,2.45,-14.69,-6.94
17,018260,삼성에스디에스,16600000000000.0,2019-06-28,5.39,-8.9,5.39,5.91,0.23
18,015760,한국전력,16400000000000.0,2019-06-28,1.79,-16.64,-22.81,-20.65,8.02
19,034730,SK,16300000000000.0,2019-06-28,-2.93,-12.45,-10.77,-9.55,-3.23
20,006400,삼성SDI,16300000000000.0,2019-06-28,13.43,11.82,7.99,7.5,-1.9
21,096770,SK이노베이션,14700000000000.0,2019-06-28,-1.24,-14.75,-11.42,-21.09,8.8
22,033780,KT&G,13500000000000.0,2019-06-28,-0.91,-7.08,-2.96,-6.19,-1.73
23,003550,LG,13300000000000.0,2019-06-28,6.51,-0.77,10.01,8.62,-3.64
24,066570,LG전자,13000000000000.0,2019-06-28,2.32,9.83,27.29,-1.98,-13.49
25,000810,삼성화재,12700000000000.0,2019-06-28,-2.72,-12.99,-0.37,0.56,-1.87
26,086790,하나금융지주,11200000000000.0,2019-06-28,0.27,4.18,3.17,-12.1,-5.48
27,035720,카카오,11000000000000.0,2019-06-28,6.91,28.29,27.67,17.94,-0.38
28,036570,엔씨소프트,10500000000000.0,2019-06-28,0.53,-4.22,2.25,32.5,3.14
29,251270,넷마블,9680000000000.0,2019-06-28,0.44,-9.24,1.35,-26.62,-18.94
30,090430,아모레퍼시픽,9620000000000.0,2019-06-28,-9.37,-11.32,-21.48,-48.59,-5.78
